2023-02-27 16:38:44.657 -03:00 [INF] --- SERVIDOR INICIANDO ---
2023-02-27 16:40:30.825 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:40:30.830 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:40:30.830 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:40:30.835 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:40:30.835 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:40:31.351 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:40:31.356 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:40:40.827 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:40:40.832 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:40:40.832 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:40:40.837 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:40:40.838 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:40:41.336 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:40:41.343 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:40:50.821 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:40:50.825 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:40:50.826 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:40:50.829 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:40:50.830 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:40:51.336 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:40:51.341 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:41:00.820 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:41:00.826 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:41:00.826 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:41:00.836 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:41:00.837 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:41:01.632 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:41:01.638 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:41:10.818 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:41:10.825 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:41:10.825 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:41:10.832 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:41:10.832 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:41:11.307 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:41:11.309 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:41:20.825 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:41:20.830 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:41:20.831 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:41:20.835 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:41:20.836 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:41:21.339 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:41:21.351 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:41:30.831 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:41:30.840 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:41:30.840 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:41:30.849 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:41:30.849 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:41:31.606 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:41:31.612 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:41:40.819 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:41:40.823 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:41:40.823 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:41:40.827 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:41:40.828 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:41:41.307 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:41:41.314 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:41:50.830 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:41:50.834 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:41:50.835 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:41:50.839 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:41:50.840 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:41:51.516 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:41:51.520 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:42:00.828 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:42:00.839 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:42:00.840 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:42:00.850 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:42:00.851 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:42:01.352 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:42:01.354 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:42:10.829 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:42:10.840 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:42:10.841 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:42:10.851 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:42:10.852 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:42:11.332 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:42:11.334 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:42:20.819 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:42:20.827 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:42:20.828 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:42:20.835 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:42:20.836 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:42:21.340 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:42:21.343 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:42:30.831 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:42:30.836 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:42:30.836 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:42:30.844 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:42:30.844 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:42:31.350 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:42:31.354 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:42:40.826 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:42:40.833 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:42:40.834 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:42:40.840 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:42:40.841 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:42:41.330 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:42:41.337 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:42:50.830 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:42:50.835 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:42:50.835 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:42:50.839 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:42:50.840 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:42:51.306 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:42:51.310 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:00.822 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:00.829 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:00.830 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:00.836 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:00.836 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:01.381 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:01.383 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:10.838 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:10.846 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:10.846 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:10.852 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:10.852 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:11.344 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:11.348 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:20.827 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:20.841 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:20.842 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:20.852 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:20.853 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:21.353 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:21.354 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:30.825 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:30.827 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:30.827 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:30.829 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:30.829 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:31.369 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:31.371 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:40.826 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:40.827 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:40.827 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:40.829 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:40.829 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:41.335 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:41.336 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
